Name,Action Description,Notes_Comments,Priority,Assigned To,Status,Organization,Category,Cost Impact,Dependencies,Due Date,Related Decision IDs,Timeline Impact
33-002,Confirm natural gas service capacity for turbine generators,"Contact Oklahoma Natural Gas (or local provider) to confirm pipeline capacity for 3,000-4,000 CFH peak demand (multiple turbines). Verify pressure (5-10 psig), meter sizing (6-8""), and interconnection timeline. Critical for generator fuel strategy decision - do we have the pressure, reliability, etc. to run turbines vs diesel? If insufficient capacity, must fall back to diesel-only or evaluate dual-fuel strategy.",1-Critical Path,David,In Progress,Saga,Utilities (Div 33),$100-300K interconnection,None,18-Oct-25,D2 E5,2-4 weeks if service installation required
33-001,Comprehensive utility interconnection study and grid power validation,"PRIMARY QUESTION: Confirm grid power is available at the site (138 kV service from OG&E). Submit formal interconnection application for 15-20 MVA substation transformer. Validate interconnection agreement permits: (1) 12MW solar export capability during Phase 1-2 (Option A), (2) 6-8MW additional load for mobile edge computing (Option B). Identify required utility upgrades, costs, and timeline. Determine POI configuration (single behind-the-meter vs dual POI). Coordinate with Camelot Task 1 findings (substation hosting capacity, transmission line analysis). 6-18+ month lead time - START IMMEDIATELY. Waiting on input from Camelot on CHILL and HILL process for large load interconnection.",1-Critical Path,Saga,Not Started,Saga,Utilities (Div 33),"$2-5M utility upgrade cost exposure + $50K-$150K study fees, plus potential $0-5M for Option B mobile compute",None,ASAP,V10 D1,6-18+ months if delayed
99-001,Confirm environmental consultant will validate emissions/air permitting path,"Make sure we can run nat gas, diesel gens or turbine as needed. Verify permitting timeline and requirements for chosen generator fuel strategy.",2-Critical,David,In Progress,Saga,Environmental/Permitting,,48-001,8-Nov-25,E4 E7,2-6 months depending on path
26-100,BESS-as-UPS analysis: CapEx savings estimate,Finalizing recommendations in this area…,2-Critical,Benton,Review-Send,PGCIS,Electrical (Div 26),"Traditional 2N UPS selected: $26.3M total. No UPS savings, but project finance viable.",None,18-Oct-25,D1,
27-001,Coordinate Camelot fiber study with Aaron's Google GCP outreach,"Review Camelot Task 3 fiber design drawings (T&M basis) for routing to site when delivered. Aaron is contacting Google regarding GCP Dedicated Interconnect feasibility. Confirm diverse fiber routes, carrier availability, and physical diversity. Validate dark fiber connectivity to Google Pryor campus (~4 miles, <1ms latency target). Determine if separate telecom consultant needed.",2-Critical,Aaron,Not Started,Saga,Communications (Div 27),$200-400K fiber infrastructure,33-001,18-Oct-25,C2 C3,
26-099,BESS-as-UPS analysis: capacity sizing and functionality,BESS vs UPS under review,2-Critical,Benton,Review-Send,PGCIS,Electrical (Div 26),BESS-as-UPS rejected. Traditional 2N UPS: $26.3M total phased CAPEX (Phase 1: $4.5M),None,18-Oct-25,D1 U2,
02-001,Confirm building test fit on site and equipment yard locations,"Test fit building configuration on the 121-acre site to determine optimal orientation. Once building is placed, determine which side is appropriate for generator yard and which side for chiller yard (north/south/east/west). Consider factors: property lines, access roads, future expansion areas, sound attenuation, prevailing winds. Replaces assumption of north side for generators - need to validate building placement first.",2-Critical,Julia,In Progress,PGCIS,Building & Site (Divs 02-14),Site layout and sound attenuation requirements ($200-400K),"48-002, 23-001",15-Nov-25,S1,Equipment access and future phase expansion planning
26-002,Confirm electrical room configuration (indoor vs outdoor),"BOD shows reversion to traditional indoor electrical rooms (6,000 SF total, 2√ó 3,000 SF) to house 2N UPS systems. October architectural meeting discussed outdoor containerized enclosures. Confirm final approach and resolve discrepancy. Traditional UPS requires indoor housing with fire suppression and cooling (outdoor only viable with BESS-as-UPS, which is rejected).",2-Critical,PGCIS,In Progress,PGCIS,Electrical (Div 26),"$2-3M for indoor electrical rooms (fire suppression, cooling)",26-001,30-Nov-25,D1,Building footprint impact
23-005,Validate sizing for liquid-cooled AI racks,Confirm 9√ó MCDU-50 equivalent units (or similar) are adequate for 48 AI racks (up to 132 kW/rack liquid-cooled). Validate chilled water manifold distribution and leak detection strategy. Direct-to-chip vs rear-door liquid coil options for customers.,2-Critical,PGCIS,In Progress,PGCIS,Mechanical (Div 23),$500K-1M CDU CAPEX,"23-004, 23-003",8-Nov-25,M3 O1,
27-003,Research GCP Cloud Interconnect requirements (if Camelot doesn't cover),"Only if not in Camelot scope, and determine if telecom consultant is needed to engage. Coordinate with Aaron's Google outreach.",3-High,Benton,Blocked,PGCIS,Communications (Div 27),,27-001,25-Oct-25,C1 C2,
23-002,Provide CapEx difference and efficiency comparison for closed-loop cooling,Sustainability vs efficiency trade-off. Validate zero water cooling strategy cost delta. CAPEX/OPEX / Total Cost of Ownership analysis. Use note: Packaged air cooled chiller with a free cooling coil. When you don't need mech cooling you just pull the cold air across.,3-High,Benton,In Progress,PGCIS,Mechanical (Div 23),TBD,23-001,25-Oct-25,M4,
23-003,Design for incremental RDHx deployment with base chilled water loop,Validate rear-door heat exchanger (RDHx) deployment for racks and confirm costs for financial model.,3-High,Benton,In Progress,PGCIS,Mechanical (Div 23),"+$144-240K RDHx CAPEX, but provides flexible billing",23-004,8-Nov-25,M3 O1,
99-003,Financial Model: Review power pass-through model and IRR calculations with consultant,Look for IRR increase from traditional all-in pricing to power pass-through model. Removes commodity risk from operator.,3-High,David,In Progress,Saga,Financial,IRR increase from 12.1% to 15-19%,None,25-Oct-25,D3 F1,
23-001,Finalize chiller plant sizing and cooling strategy,"Confirm chiller count and sizing for 12 MW initial (20-24 MW ultimate) capacity. Current plan: ~16 air-cooled chillers @ 1.5 MW each in modular 3 MW blocks (3 chillers per block = N+1 redundancy). Validate against PUE target (1.2-1.3) and Oklahoma climate (~215 days/year free cooling). Air-cooled with integrated free cooling confirmed, adiabatic coolers eliminated (zero water cooling strategy). Closed-loop system analysis. Review free cooling hour curves for Tulsa climate.",3-High,Erik,Not Started,PGCIS,Mechanical (Div 23),"$8-12M phased chiller CAPEX, +$150-450K net vs adiabatic coolers",None,25-Oct-25,M1 M4,
27-004,Confirm diverse fiber routes to Google Pryor campus (4 miles away),Part of Camelot fiber study scope (Task 3). Coordinate with 27-001 and 27-002. Client SOW indicates: 'Site Resources: - Proximity to fiber and water for the site - Fiber information (requested by Client via email)',3-High,David,Not Started,Saga,Communications (Div 27),,27-002,TBD,C1,
26-001,Confirm UPS equipment specifications and pricing,"Select traditional 2N modular UPS equipment specifications for Phase 1 deployment (6MW N+1, $4.5M). Lock pricing for future phase expansions (ultimate 28MW, $26.3M total phased). Confirm modular frame sizing and spare parts compatibility. This is for design and cost estimating, not vendor selection/procurement. Can likely use existing Schneider estimates, but should confirm.",3-High,PGCIS,Not Started,PGCIS,Electrical (Div 26),$4.5M Phase 1 CAPEX (Class 3 estimate +/- 15-20%),None,30-Nov-25,D1,
48-002,Confirm final generator configuration (turbine + diesel mix),"Based on natural gas service confirmation (33-002) and turbine lead time research (99-002), finalize generator count and fuel mix. Current plan: 4-5 generators total (natural gas turbine + diesel recip mix, N+1 redundancy). Consider customer preference for fuel diversity. Phase 1: 2√ó generators (N+1) for $2.4M, ultimate: 8√ó generators for $10.8M total phased.",3-High,PGCIS,Not Started,PGCIS,Power Generation (Div 48),"$2.4M Phase 1 CAPEX, ¬±$500K-$1M based on turbine vs diesel mix","33-002, 99-002",8-Nov-25,D2 E5,
00-003,Finance Model: Update total project CAPEX range (Phase 1 and Ultimate),"Review cost tables at the end of each BOD division page. Consolidate all BOD updates into revised total project cost estimate. Provide Phase 1 CAPEX (initial 12 MW deployment) and ultimate CAPEX (20-24 MW with all phases). Update financial model with revised assumptions: traditional UPS phasing ($4.5M Phase 1 vs $26.3M total), chiller expansion (~16 chillers, $8-12M phased), BESS elimination savings, raised floor elimination ($900K-$1.25M savings), etc. Accuracy: Class 3 (+/- 15-20%).",3-High,PGCIS,Not Started,PGCIS,General Requirements (Div 00),Phase 1 and ultimate CAPEX baseline for financial model and investor materials,"26-001, 48-002, 23-001, 02-001",30-Nov-25,F1,IRR calculations and lender presentations
33-005,Research demand response programs and incentive structure,"Determine if facility qualifies for OG&E Load Reduction Program; assess revenue opportunity ($600k/year potential with natural gas turbine generators at zero incremental CAPEX). Document why generators provide demand response capability, eliminating need for Economic BESS (which has negative NPV).",3-High,Benton,Review-Send,PGCIS,Utilities (Div 33),$600k/year revenue with generators,48-001,20-Oct-25,D1 U3,
02-006,Evaluate roof type upgrade for wind/missile resistance,FM I-135 compliance. Compare to ASCE wind map requirements for Tulsa region to determine appropriate wind resistance standard.,4-Medium,Benton,Complete,PGCIS,Building & Site (Divs 02-14),TBD,02-004,8-Nov-25,E9,
33-006,Validate substation transformer sizing (15-20 MVA),"Confirm 15-20 MVA sizing is adequate for facility load without BESS (12 MW IT + mechanical/support, PUE 1.2-1.3 = ~15 MW peak). Original 20-25 MVA estimate included BESS charging load (now eliminated). Coordinate with 33-001 utility interconnection study results. Official Transformer sizing shall be 20/16/12 MVA ONAN/ONAF1/ONAF2 138kV-34.5kV 13.2kv TERT.",4-Medium,David,Complete,Saga,Utilities (Div 33),"$400-800K if customer-owned transformer, ¬±$100-200K based on sizing",33-001,25-Oct-25,U1,
02-002,Validate slab-on-grade can support equipment loads,"Review geotechnical analysis to confirm slab-on-grade can support equipment loads (chillers, transformers, generators) without raised floor. Raised floor eliminated from design ($900K-$1.25M savings). After geotechnical review.",4-Medium,Benton,In Progress,PGCIS,Building & Site (Divs 02-14),$900K-$1.25M savings (raised floor elimination),02-003,8-Nov-25,S1 D4,
02-003,PGCIS to review geotech analysis for design implications,Review for foundation design and site grading requirements. Coordinate with 02-002 (slab-on-grade validation).,4-Medium,Benton,Not Started,PGCIS,Building & Site (Divs 02-14),,None,18-Oct-25,V6 S1,
99-006,Get Generac lead time quotes for diesel generators,Compare to turbine lead times (1yr). Part of generator fuel strategy decision. Including in work with Constructiv.,4-Medium,David,Not Started,Saga,Procurement,$0.5M-$1M slip cost if delayed,99-002,25-Oct-25,D2 P2,6-9 months if diesel delayed
33-004,Complete water and wastewater availability study,"Confirm municipal water service availability (500-1,000 gal/day domestic use only - zero water cooling strategy) and sanitary sewer capacity. Or septic. If municipal unavailable, evaluate on-site well/septic system design per Oklahoma DEQ requirements. If not closed-loop cooling: $5K-$15K study cost.",4-Medium,TBD,Not Started,TBD,Utilities (Div 33),"$50-200K connection fees (municipal) or $100-300K (on-site well/septic), plus $5K-$15K study",23-002,TBD,M4,Potential for expensive utility extensions if municipal unavailable
33-008,Confirm diesel fuel storage strategy (if diesel generators selected),"Finalize diesel fuel storage approach: sub-base belly tanks vs centralized above-ground storage tank (AST). Confirm 48-hour minimum runtime capacity and EPA SPCC plan requirements (if >1,320 gallons total). Coordinate with final generator configuration (48-001).",4-Medium,PGCIS,Not Started,PGCIS,Utilities (Div 33),$200-400K fuel storage CAPEX + EPA SPCC compliance,48-001,8-Nov-25,D2,
23-006,Confirm rooftop AHU configuration for data hall humidity control,"Validate rooftop AHU sizing for 40,000 SF data hall (Phase 1: 20,000 SF fitted, Phase 2: 20,000 SF shell). Confirm N+1 redundancy and integration with RDHx/CDU cooling strategy. AHUs handle humidity control + building over-pressurization, not IT heat rejection. Deviation from RD109 baseline (adds comfort cooling not in original scope).",4-Medium,PGCIS,Not Started,PGCIS,Mechanical (Div 23),$300-500K CAPEX,23-001,30-Nov-25,M4,